GeneID,Base-mean,log2_FC,StdErr,Wald-Stats,P-value,P-adj,chr,start,stop,strand,NA,genename
ENSMUSG00000112023,96.38964871,2.123169594,0.335441406,6.329479768,2.46E-10,9.58E-08,chr10,51480631,51486703,+,protein_coding,Lilr4b
ENSMUSG00000027306,115.9576964,2.086891954,0.339101149,6.154187212,7.55E-10,2.44E-07,chr2,119618297,119651244,+,protein_coding,Nusap1
ENSMUSG00000026683,86.31531425,2.080248394,0.35500042,5.859847706,4.63E-09,1.10E-06,chr1,169497933,169531464,-,protein_coding,Nuf2
ENSMUSG00000030577,259.9814991,2.070532751,0.294995128,7.018871017,2.24E-12,1.99E-09,chr7,30865401,30880334,-,protein_coding,Cd22
ENSMUSG00000112148,68.39924469,2.065966958,0.33741274,6.122966655,9.18E-10,2.83E-07,chr10,51490955,51496611,+,protein_coding,Lilrb4
ENSMUSG00000034311,91.56434808,2.062108507,0.331027112,6.229424825,4.68E-10,1.63E-07,chrX,100625736,100727214,+,protein_coding,Kif4
ENSMUSG00000015880,112.9715344,2.059471622,0.342379553,6.015171194,1.80E-09,5.17E-07,chr5,45669918,45700546,+,protein_coding,Ncapg
ENSMUSG00000001228,226.5622254,2.04876503,0.3048729,6.72006279,1.82E-11,1.20E-08,chr17,56303320,56323486,+,protein_coding,Uhrf1
ENSMUSG00000063021,57.53741517,1.977211969,0.354946015,5.570458277,2.54E-08,4.67E-06,chr13,21753434,21753827,-,protein_coding,Hist1h2ak
ENSMUSG00000037474,111.132645,1.967797872,0.341210569,5.767107033,8.06E-09,1.81E-06,chr1,191537364,191575544,-,protein_coding,Dtl
ENSMUSG00000075602,113.9259831,1.95907289,0.29499762,6.640978624,3.12E-11,1.88E-08,chr15,74994876,74998031,-,protein_coding,Ly6a
ENSMUSG00000040084,134.8607003,1.950900031,0.329777323,5.915810136,3.30E-09,8.25E-07,chr2,118598210,118641591,+,protein_coding,Bub1b
ENSMUSG00000027074,65.42681385,1.931658216,0.361952349,5.336774905,9.46E-08,1.53E-05,chr2,84936578,84958509,+,protein_coding,Slc43a3
ENSMUSG00000023243,96.1707899,1.927779492,0.325005658,5.931525938,3.00E-09,7.64E-07,chr14,20140056,20181809,-,protein_coding,Kcnk5
ENSMUSG00000017716,81.59712388,1.917802108,0.352811013,5.435777336,5.46E-08,9.26E-06,chr11,117849250,117855743,+,protein_coding,Birc5
ENSMUSG00000034906,67.05848309,1.914676854,0.354294481,5.404196102,6.51E-08,1.08E-05,chr2,127103808,127133954,-,protein_coding,Ncaph
ENSMUSG00000049103,598.2997337,1.909682336,0.253910749,7.521077171,5.43E-14,8.99E-11,chr9,124101949,124113557,+,protein_coding,Ccr2
ENSMUSG00000114279,86.27023137,1.902949093,0.340568387,5.587568213,2.30E-08,4.29E-06,chr13,21722043,21722567,+,protein_coding,Hist1h2bm
ENSMUSG00000039899,82.68263388,1.890633443,0.323706513,5.840578937,5.20E-09,1.21E-06,chr5,21372641,21378374,+,protein_coding,Fgl2
ENSMUSG00000069310,57.1885043,1.887628861,0.361743298,5.218144672,1.81E-07,2.75E-05,chr13,23744972,23745602,-,protein_coding,Hist1h3c
ENSMUSG00000027078,32.96346196,1.861787828,0.367224373,5.069891781,3.98E-07,5.27E-05,chr2,84798827,84810176,+,protein_coding,Ube2l6
ENSMUSG00000052565,673.1576898,1.857357696,0.253589342,7.324273492,2.40E-13,3.12E-10,chr13,23553261,23560686,+,protein_coding,Hist1h1d
ENSMUSG00000002835,110.3308357,1.856623832,0.312936174,5.932915364,2.98E-09,7.64E-07,chr17,56040415,56068026,+,protein_coding,Chaf1a
ENSMUSG00000040204,69.12905309,1.851741767,0.357003768,5.186896985,2.14E-07,3.11E-05,chr9,65890236,65903266,+,protein_coding,Pclaf
ENSMUSG00000048327,64.52630568,1.847250729,0.363363845,5.083749402,3.70E-07,4.95E-05,chr2,129268209,129297212,-,protein_coding,Ckap2l
ENSMUSG00000022034,43.56072332,1.832821836,0.365754271,5.011074318,5.41E-07,6.89E-05,chr14,65819037,65833994,-,protein_coding,Esco2
ENSMUSG00000020641,141.6288076,1.826936474,0.289562812,6.309292477,2.80E-10,1.04E-07,chr12,26442745,26456452,-,protein_coding,Rsad2
ENSMUSG00000062727,48.02462828,1.814248492,0.364380181,4.978998824,6.39E-07,7.98E-05,chr13,22035869,22036345,+,protein_coding,Hist1h2bk
ENSMUSG00000060093,52.23183206,1.811598019,0.360714887,5.022243565,5.11E-07,6.57E-05,chr13,23760691,23761230,-,protein_coding,Hist1h4a
ENSMUSG00000041219,129.8130187,1.807807617,0.277382175,6.51738928,7.15E-11,3.38E-08,chr2,113831491,113848661,-,protein_coding,Arhgap11a
ENSMUSG00000001020,78.55249189,1.800230485,0.32953558,5.462932067,4.68E-08,8.05E-06,chr3,90603770,90606045,+,protein_coding,S100a4
ENSMUSG00000008136,46.56163315,1.77955374,0.34784155,5.115989573,3.12E-07,4.22E-05,chr1,43123073,43196984,-,protein_coding,Fhl2
ENSMUSG00000114456,51.82475164,1.765188149,0.360924518,4.890740474,1.00E-06,0.00011668,chr13,23541713,23543392,-,protein_coding,Hist1h2bh
ENSMUSG00000029414,94.67851443,1.760176871,0.341753958,5.150421312,2.60E-07,3.70E-05,chr5,123749725,123821593,+,protein_coding,Kntc1
ENSMUSG00000099517,42.17333798,1.75882548,0.361018176,4.871847449,1.11E-06,0.000125121,chr13,23535421,23535951,+,protein_coding,Hist1h3g
ENSMUSG00000046179,61.2182962,1.755213437,0.35587763,4.932070158,8.14E-07,9.79E-05,chr7,48866428,48881596,-,protein_coding,E2f8
ENSMUSG00000069300,42.85040302,1.750882421,0.365243853,4.793735492,1.64E-06,0.000170678,chr13,22043213,22043676,+,protein_coding,Hist1h2bj
ENSMUSG00000030167,339.4269931,1.748190625,0.257487826,6.789410784,1.13E-11,7.85E-09,chr6,129666014,129678973,-,protein_coding,Klrc1
ENSMUSG00000020914,995.3605266,1.744138408,0.36247783,4.81171058,1.50E-06,0.000162041,chr11,98992942,99024189,-,protein_coding,Top2a
ENSMUSG00000042331,57.94368159,1.733657648,0.359865924,4.817509887,1.45E-06,0.000159068,chr11,61956762,62223013,+,protein_coding,Specc1
ENSMUSG00000017499,97.49852283,1.733193766,0.348649563,4.971162886,6.66E-07,8.24E-05,chr11,98907800,98923936,+,protein_coding,Cdc6
ENSMUSG00000039748,49.62799163,1.721835245,0.350903932,4.906856509,9.25E-07,0.000110399,chr1,175880580,175913489,+,protein_coding,Exo1
ENSMUSG00000051378,33.98093389,1.71320407,0.367246349,4.664999596,3.09E-06,0.000285763,chr11,102905528,102925124,-,protein_coding,Kif18b
ENSMUSG00000015217,80.70813846,1.709342697,0.355332978,4.810537727,1.51E-06,0.000162041,chrX,71555917,71560676,+,protein_coding,Hmgb3
ENSMUSG00000038943,120.7990298,1.704786909,0.327357077,5.207728897,1.91E-07,2.84E-05,chr7,80294449,80316259,+,protein_coding,Prc1
ENSMUSG00000026274,29.59692553,1.697349288,0.361976548,4.689113972,2.74E-06,0.000261382,chr1,93308777,93343482,-,protein_coding,Pask
ENSMUSG00000030867,46.45888204,1.697319638,0.353978307,4.794982072,1.63E-06,0.000170678,chr7,122159438,122169873,+,protein_coding,Plk1
ENSMUSG00000028873,63.0913671,1.678890931,0.346457757,4.845874854,1.26E-06,0.00013954,chr4,124918464,124939311,-,protein_coding,Cdca8
ENSMUSG00000035455,79.64744034,1.67398473,0.345490935,4.845234888,1.26E-06,0.00013954,chr11,11800287,11808962,-,protein_coding,Fignl1
ENSMUSG00000024548,252.5199587,1.656024131,0.302727198,5.470351339,4.49E-08,7.83E-06,chr18,78750379,79109391,-,protein_coding,Setbp1
ENSMUSG00000029516,125.9149381,1.650466624,0.292443154,5.643717766,1.66E-08,3.24E-06,chr5,115845279,116008947,+,protein_coding,Cit
ENSMUSG00000023505,64.40030404,1.650454725,0.337248464,4.893883598,9.89E-07,0.000115847,chr6,124829546,124833701,+,protein_coding,Cdca3
ENSMUSG00000024791,18.29568926,1.632495026,0.36528339,4.469119242,7.85E-06,0.000654075,chr19,6084982,6091777,+,protein_coding,Cdca5
ENSMUSG00000027323,66.84547557,1.631596139,0.341170967,4.782341685,1.73E-06,0.000179234,chr2,119112792,119147445,+,protein_coding,Rad51
ENSMUSG00000047534,61.69952038,1.627733992,0.3542364,4.595050061,4.33E-06,0.000379381,chr12,65132733,65172599,-,protein_coding,Mis18bp1
ENSMUSG00000037544,121.4746844,1.622237736,0.317066703,5.116392615,3.11E-07,4.22E-05,chr14,47387778,47418407,-,protein_coding,Dlgap5
ENSMUSG00000027379,48.55572008,1.62049805,0.365904181,4.428749748,9.48E-06,0.00076524,chr2,127801121,127831865,-,protein_coding,Bub1
ENSMUSG00000028551,45.06540619,1.616568783,0.348613786,4.637133838,3.53E-06,0.00032039,chr4,109660875,109667189,-,protein_coding,Cdkn2c
ENSMUSG00000064288,65.67012336,1.615371992,0.348045014,4.641273187,3.46E-06,0.000316203,chr13,21750193,21750505,-,protein_coding,Hist1h4k
ENSMUSG00000058385,119.0271051,1.609868062,0.317662069,5.067863672,4.02E-07,5.27E-05,chr13,23571395,23572013,+,protein_coding,Hist1h2bg
ENSMUSG00000036875,58.19535887,1.595402314,0.36626739,4.355840456,1.33E-05,0.001026428,chr10,62947025,62974185,+,protein_coding,Dna2
ENSMUSG00000023216,41.05548393,1.587164311,0.366688471,4.328372549,1.50E-05,0.001136571,chr2,121017890,121037072,-,protein_coding,Epb42
ENSMUSG00000028832,169.2906587,1.572620316,0.277845788,5.660047341,1.51E-08,3.08E-06,chr4,134468319,134473843,+,protein_coding,Stmn1
ENSMUSG00000049807,37.22257406,1.570871268,0.367190566,4.278081776,1.89E-05,0.001361251,chr11,97415532,97502402,+,protein_coding,Arhgap23
ENSMUSG00000005233,61.93997745,1.562307675,0.338495357,4.615447867,3.92E-06,0.000346251,chr2,69193894,69206194,-,protein_coding,Spc25
ENSMUSG00000028063,85.61602548,1.558206607,0.348879294,4.466320114,7.96E-06,0.000658545,chr3,88481147,88509956,-,protein_coding,Lmna
ENSMUSG00000026622,36.55436059,1.556667102,0.366362739,4.248977687,2.15E-05,0.001520579,chr1,191821443,191833050,+,protein_coding,Nek2
ENSMUSG00000051839,43.84883356,1.545805562,0.366949134,4.21258812,2.52E-05,0.001741062,chr8,80493780,80510542,+,protein_coding,Gypa
ENSMUSG00000051934,19.59558656,1.532405227,0.367110386,4.174235555,2.99E-05,0.001978086,chr15,99125915,99213215,+,protein_coding,Spats2
ENSMUSG00000003779,82.47346786,1.520184498,0.348426647,4.362997231,1.28E-05,0.000999248,chr18,34624623,34633265,+,protein_coding,Kif20a
ENSMUSG00000020493,19.77053629,1.511573413,0.36601563,4.129805638,3.63E-05,0.002333694,chr11,87089152,87108708,-,protein_coding,Prr11
ENSMUSG00000020185,20.47533714,1.506822423,0.367239555,4.103104918,4.08E-05,0.00252334,chr10,110745464,110787384,+,protein_coding,E2f7
ENSMUSG00000021569,31.96870795,1.498697961,0.367206279,4.081351667,4.48E-05,0.002732073,chr13,73911346,73937784,-,protein_coding,Trip13
ENSMUSG00000037313,117.6793107,1.495688994,0.298873256,5.004425664,5.60E-07,7.07E-05,chr5,33658127,33678995,+,protein_coding,Tacc3
ENSMUSG00000036777,77.28908051,1.489433737,0.356376787,4.179379221,2.92E-05,0.001944936,chr9,22332011,22389188,-,protein_coding,Anln
ENSMUSG00000025270,54.45339497,1.484339332,0.344073195,4.314022001,1.60E-05,0.001206067,chrX,150547374,150570638,+,protein_coding,Alas2
ENSMUSG00000001025,264.4988954,1.479801375,0.298568367,4.956323362,7.18E-07,8.73E-05,chr3,90612881,90614414,+,protein_coding,S100a6
ENSMUSG00000038379,26.09003531,1.470414741,0.365998624,4.017541716,5.88E-05,0.003445497,chr9,83834689,83872389,+,protein_coding,Ttk
ENSMUSG00000030103,87.95471369,1.468909578,0.3377527,4.349068354,1.37E-05,0.001052483,chr6,108660628,108666925,+,protein_coding,Bhlhe40
ENSMUSG00000026605,317.0256052,1.463104069,0.367100576,3.985567345,6.73E-05,0.00384212,chr1,189640605,189688086,-,protein_coding,Cenpf
ENSMUSG00000031262,33.53845497,1.456259662,0.366264174,3.975981728,7.01E-05,0.003949171,chrX,134308083,134362639,+,protein_coding,Cenpi
ENSMUSG00000046591,60.95689322,1.453675347,0.347319355,4.185414163,2.85E-05,0.001913201,chr7,79660195,79698148,+,protein_coding,Ticrr
ENSMUSG00000026039,45.69283762,1.449122462,0.360833926,4.016037182,5.92E-05,0.00345228,chr1,57995970,58025899,+,protein_coding,Sgol2a
ENSMUSG00000030346,40.56360379,1.447425125,0.366104762,3.953581799,7.70E-05,0.004274082,chr6,126923049,126939587,-,protein_coding,Rad51ap1
ENSMUSG00000026196,89.138884,1.446107369,0.323288651,4.473115172,7.71E-06,0.000646029,chr1,71027497,71103146,-,protein_coding,Bard1
ENSMUSG00000048120,59.59258189,1.445135975,0.330041725,4.378646289,1.19E-05,0.000935635,chr19,40612396,40741602,+,protein_coding,Entpd1
ENSMUSG00000021485,25.93545572,1.440014347,0.365279436,3.942226707,8.07E-05,0.004453865,chr13,55325167,55329758,-,protein_coding,Mxd3
ENSMUSG00000025574,53.46168958,1.436929744,0.335323933,4.285198879,1.83E-05,0.001335628,chr11,117815525,117826092,-,protein_coding,Tk1
ENSMUSG00000030677,81.74315619,1.436515161,0.322068005,4.460285211,8.19E-06,0.000673158,chr7,127027728,127042471,-,protein_coding,Kif22
ENSMUSG00000000386,498.4816528,1.435904211,0.221815895,6.473405389,9.58E-11,4.23E-08,chr16,97447036,97462906,-,protein_coding,Mx1
ENSMUSG00000101972,49.99018147,1.435750828,0.348290022,4.122285274,3.75E-05,0.002397568,chr13,21782959,21783370,-,protein_coding,Hist1h3i
ENSMUSG00000038070,53.88215386,1.434281049,0.335481757,4.275287761,1.91E-05,0.001366261,chr4,84884308,85131921,+,protein_coding,Cntln
ENSMUSG00000031004,2552.280259,1.432517014,0.366068083,3.913252971,9.11E-05,0.00490138,chr7,135689783,135716361,-,protein_coding,Mki67
ENSMUSG00000034023,50.09754185,1.423052487,0.361123228,3.94062851,8.13E-05,0.004465041,chr6,113531681,113597017,+,protein_coding,Fancd2
ENSMUSG00000027326,218.6820203,1.42049997,0.366851998,3.872133661,0.000107887,0.005602073,chr2,119047118,119105501,+,protein_coding,Knl1
ENSMUSG00000030688,104.5726408,1.419251721,0.343098344,4.136574091,3.53E-05,0.002276997,chr7,101317085,101346626,+,protein_coding,Stard10
ENSMUSG00000074476,54.12067593,1.405208194,0.359218129,3.911852105,9.16E-05,0.004909945,chr9,21755441,21760303,-,protein_coding,Spc24
ENSMUSG00000056531,44.0325085,1.401584263,0.359969364,3.893620967,9.88E-05,0.005191328,chr5,108132913,108233628,+,protein_coding,Ccdc18
ENSMUSG00000036223,17.71339796,1.392030533,0.356833038,3.901069648,9.58E-05,0.005072288,chr18,74195298,74207818,-,protein_coding,Ska1
ENSMUSG00000020644,496.5725355,1.380881278,0.242885667,5.685313969,1.31E-08,2.74E-06,chr12,25093798,25097140,-,protein_coding,Id2
ENSMUSG00000017861,40.48299259,1.377423919,0.361976209,3.805288542,0.000141639,0.007130957,chr2,163054686,163084688,+,protein_coding,Mybl2
ENSMUSG00000095217,260.049943,1.37595518,0.367279372,3.746344843,0.00017943,0.008799375,chr13,21754122,21754503,+,protein_coding,Hist1h2bn
ENSMUSG00000063445,38.93557233,1.373021625,0.360117818,3.812701171,0.000137456,0.006973404,chr16,4710058,4719356,-,protein_coding,Nmral1
ENSMUSG00000028678,43.79396067,1.370296593,0.359791269,3.808587677,0.000139763,0.007063355,chr4,117159638,117182639,-,protein_coding,Kif2c
ENSMUSG00000022322,24.70542737,1.369340297,0.367281087,3.728316933,0.000192763,0.009383724,chr8,4735975,4779554,-,protein_coding,Shcbp1
ENSMUSG00000058773,414.695643,1.362431478,0.359701633,3.787671096,0.000152066,0.007598134,chr13,21779882,21780625,-,protein_coding,Hist1h1b
ENSMUSG00000041481,186.2143365,1.362362999,0.263881564,5.162782046,2.43E-07,3.50E-05,chr12,104236251,104241939,+,protein_coding,Serpina3g
ENSMUSG00000021453,81.80844687,1.358281722,0.337753549,4.021517247,5.78E-05,0.003433425,chr13,51846677,51848468,+,protein_coding,Gadd45g
ENSMUSG00000027490,42.81612558,1.346008987,0.35130306,3.831475275,0.000127377,0.006537214,chr2,154559406,154569892,-,protein_coding,E2f1
ENSMUSG00000023045,29.3055572,1.344267587,0.365436044,3.678530371,0.000234582,0.011003972,chr15,102150525,102163469,+,protein_coding,Soat2
ENSMUSG00000047246,301.8555088,1.341693215,0.257453717,5.211395774,1.87E-07,2.82E-05,chr13,23583669,23621124,-,protein_coding,Hist1h2be
ENSMUSG00000024663,24.60981283,1.33665839,0.364964746,3.662431521,0.000249833,0.011526247,chr19,10001668,10035586,+,protein_coding,Rab3il1
ENSMUSG00000035441,35.25113253,1.335900157,0.365188775,3.658108491,0.000254083,0.011681665,chr11,80482125,80780025,-,protein_coding,Myo1d
ENSMUSG00000006715,97.04467203,1.335379855,0.3267124,4.08732529,4.36E-05,0.00267502,chr13,24751844,24761923,-,protein_coding,Gmnn
ENSMUSG00000030789,103.2428759,1.334982318,0.312107691,4.277313115,1.89E-05,0.001361251,chr7,128129546,128150657,+,protein_coding,Itgax
ENSMUSG00000094338,21.31381402,1.332851085,0.367284948,3.628929233,0.000284599,0.012436893,chr13,21715762,21716143,-,protein_coding,Hist1h2bl
ENSMUSG00000021714,32.03092186,1.330570702,0.359871774,3.697346656,0.000217865,0.010302668,chr13,104228954,104249617,+,protein_coding,Cenpk
ENSMUSG00000028392,52.44100496,1.330345047,0.343052192,3.87796691,0.000105333,0.005491003,chr4,62480052,62497298,+,protein_coding,Bspry
ENSMUSG00000050335,29.37449445,1.32063032,0.365081467,3.617357874,0.000297626,0.012817348,chr14,47367750,47386160,+,protein_coding,Lgals3
ENSMUSG00000067455,44.33434642,1.318902452,0.351147313,3.75598048,0.000172664,0.008499056,chr13,21735063,21735837,+,protein_coding,Hist1h4j
ENSMUSG00000028212,54.85551167,1.315816479,0.360413101,3.650856413,0.000261367,0.011892663,chr4,11191353,11204779,+,protein_coding,Ccne2
ENSMUSG00000091694,14.76634592,1.314859041,0.361103031,3.641229589,0.000271339,0.012137838,chr15,77633945,77643286,-,protein_coding,Apol11b
ENSMUSG00000045087,30.28698464,1.314699713,0.364563427,3.606230397,0.000310677,0.01326993,chr9,21242911,21248443,-,protein_coding,S1pr5
ENSMUSG00000003585,24.06327435,1.312709147,0.359719002,3.649262729,0.000262994,0.011925698,chr11,4097038,4118831,-,protein_coding,Sec14l2
ENSMUSG00000074896,341.1631069,1.308519265,0.237119457,5.518396841,3.42E-08,6.04E-06,chr19,34583530,34588731,+,protein_coding,Ifit3
ENSMUSG00000038252,369.5784458,1.302448401,0.228937888,5.689090663,1.28E-08,2.73E-06,chr6,125168006,125191701,-,protein_coding,Ncapd2
ENSMUSG00000045328,316.8211685,1.299439319,0.366194317,3.54849668,0.000387437,0.015882513,chr3,135212536,135273611,+,protein_coding,Cenpe
ENSMUSG00000001517,75.52180698,1.297876011,0.312632362,4.151444863,3.30E-05,0.002144412,chr6,128362966,128376146,+,protein_coding,Foxm1
ENSMUSG00000035365,28.7656181,1.296261859,0.366733216,3.534618091,0.000408365,0.016485243,chr10,88091431,88146941,-,protein_coding,Parpbp
ENSMUSG00000028718,32.19427078,1.288407143,0.36724421,3.50831166,0.00045096,0.01777133,chr4,115000158,115043196,+,protein_coding,Stil
ENSMUSG00000034329,79.45087615,1.287153213,0.347539651,3.703615428,0.000212548,0.010196933,chr11,86058137,86201193,-,protein_coding,Brip1
ENSMUSG00000035683,24.27651942,1.283032827,0.365456901,3.51076371,0.000446821,0.017662191,chr4,44300875,44364675,+,protein_coding,Melk
ENSMUSG00000023341,83.50757199,1.282731652,0.306569829,4.184141849,2.86E-05,0.00191423,chr16,97535307,97560900,+,polymorphic_pseudogene,Mx2
ENSMUSG00000001555,13.21868034,1.261789032,0.36036105,3.501457862,0.00046272,0.018180645,chr11,100415696,100424824,+,protein_coding,Fkbp10
ENSMUSG00000006398,58.95910241,1.257161017,0.341538482,3.680876634,0.000232433,0.010952496,chr4,118432900,118437352,-,protein_coding,Cdc20
ENSMUSG00000041827,81.94993467,1.256601969,0.308873683,4.068336146,4.74E-05,0.002875972,chr5,114923239,114937915,+,protein_coding,Oasl1
ENSMUSG00000028214,136.8167222,1.255415918,0.278192977,4.512752022,6.40E-06,0.000553801,chr4,11704456,11714752,+,protein_coding,Gem
ENSMUSG00000048922,60.67715679,1.246431816,0.341716831,3.647557573,0.000264745,0.011964125,chr14,67676330,67715841,-,protein_coding,Cdca2
ENSMUSG00000021823,77.98203691,1.245236524,0.334275681,3.725178329,0.000195177,0.009466451,chr14,20929397,21033676,+,protein_coding,Vcl
ENSMUSG00000025154,52.29385075,1.242487332,0.366301313,3.391981648,0.000693891,0.025881152,chr19,41766587,41802084,-,protein_coding,Arhgap19
ENSMUSG00000012443,256.1090747,1.241349649,0.36302738,3.419438084,0.000627506,0.023913606,chr19,37376402,37421859,+,protein_coding,Kif11
ENSMUSG00000025743,95.06357143,1.239993562,0.292817437,4.234698499,2.29E-05,0.001603342,chr4,130792536,130826319,+,protein_coding,Sdc3
ENSMUSG00000069516,19.47304255,1.234797988,0.367267977,3.362117217,0.000773473,0.028528005,chr10,117277330,117282321,-,protein_coding,Lyz2
ENSMUSG00000034206,138.1263862,1.234668146,0.328544951,3.757988497,0.000171285,0.008462617,chr16,37011785,37095417,+,protein_coding,Polq
ENSMUSG00000079017,446.6049943,1.233603104,0.251796186,4.899212833,9.62E-07,0.000113756,chr12,103442166,103443680,-,protein_coding,Ifi27l2a
ENSMUSG00000028702,46.13663984,1.233373432,0.359224581,3.433432728,0.00059599,0.022873926,chr4,116096915,116123685,-,protein_coding,Rad54l
ENSMUSG00000024590,692.5330737,1.233295675,0.206787699,5.964066918,2.46E-09,6.65E-07,chr18,56707812,56753424,+,protein_coding,Lmnb1
ENSMUSG00000069268,27.28483549,1.230399745,0.366330765,3.358712566,0.000783065,0.028801555,chr13,23573735,23574196,-,protein_coding,Hist1h2bf
ENSMUSG00000005470,45.86786905,1.230043892,0.360290433,3.414034291,0.000640085,0.024215337,chr8,83955506,83970197,+,protein_coding,Asf1b
ENSMUSG00000024056,99.98547995,1.225515458,0.313613922,3.907720197,9.32E-05,0.004974511,chr17,71496099,71526857,-,protein_coding,Ndc80
ENSMUSG00000036825,94.38043793,1.223216804,0.339132392,3.606900534,0.000309876,0.01326993,chr3,146404641,146440144,+,protein_coding,Ssx2ip
ENSMUSG00000018983,127.9028035,1.220880012,0.270839663,4.507759303,6.55E-06,0.000559674,chr4,136172393,136196057,+,protein_coding,E2f2
ENSMUSG00000022422,39.89171708,1.219301862,0.364837663,3.342039446,0.000831652,0.030503905,chr15,55076098,55090491,-,protein_coding,Dscc1
ENSMUSG00000044583,144.5158534,1.214773941,0.27016785,4.496367509,6.91E-06,0.000582977,chrX,167304928,167330558,-,protein_coding,Tlr7
ENSMUSG00000058624,19.55426795,1.214565182,0.360430249,3.369764849,0.000752324,0.027825464,chr19,21391306,21473445,-,protein_coding,Gda
ENSMUSG00000040274,702.2873364,1.210860731,0.214403356,5.647582912,1.63E-08,3.22E-06,chr5,3341484,3531008,+,protein_coding,Cdk6
ENSMUSG00000049932,165.1313673,1.21075999,0.294285677,4.114233498,3.88E-05,0.002461103,chr9,44334693,44336077,+,protein_coding,H2afx
ENSMUSG00000026672,45.49607136,1.210200403,0.367245337,3.295345868,0.000983006,0.034895399,chr2,5020641,5064045,-,protein_coding,Optn
ENSMUSG00000032126,146.0849674,1.208471759,0.333000344,3.629040571,0.000284477,0.012436893,chr9,44336338,44344228,-,protein_coding,Hmbs
ENSMUSG00000061878,30.24040061,1.206844402,0.362173094,3.33223097,0.000861527,0.03142557,chr11,116530924,116536674,+,protein_coding,Sphk1
ENSMUSG00000037725,47.68233481,1.205714866,0.363483687,3.317108608,0.000909543,0.032815402,chr8,22168159,22185819,-,protein_coding,Ckap2
ENSMUSG00000006356,16.54005454,1.204362522,0.361586737,3.330770731,0.000866059,0.031504086,chr12,113140235,113145506,+,protein_coding,Crip2
ENSMUSG00000022021,134.9380738,1.203653816,0.297605222,4.044464697,5.24E-05,0.00314206,chr14,86655366,87141224,-,protein_coding,Diaph3
ENSMUSG00000034459,347.4504935,1.202312491,0.234003572,5.138009136,2.78E-07,3.91E-05,chr19,34640870,34650009,+,protein_coding,Ifit1
ENSMUSG00000056394,331.7210605,1.197332629,0.268773866,4.454795571,8.40E-06,0.000686351,chr7,13277312,13311425,+,protein_coding,Lig1
ENSMUSG00000027496,45.89609315,1.196369775,0.348028392,3.437563721,0.000586973,0.022593326,chr2,172356189,172370535,-,protein_coding,Aurka
